Processing [/home/ubuntu/HP-AI-Arch-Labs/lab6_io_model/gpu_profile_results/jax_n10_20260605_135418.sqlite] with [/usr/lib/x86_64-linux-gnu/nsight-systems/target-linux-x64/reports/cudaapisum.py]... 

 ** CUDA API Summary (cudaapisum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                Name               
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ---------------------------------
     92.0        277914178      33594     8272.7     3911.0      3075     53714       9235.1  cuLaunchKernel                   
      2.4          7229216          1  7229216.0  7229216.0   7229216   7229216          0.0  cuMemFree_v2                     
      0.9          2864240          2  1432120.0  1432120.0   1430336   1433904       2523.0  cudaGetDeviceProperties_v2_v12000
      0.8          2368736          3   789578.7    21827.0      5130   2341779    1344270.8  cuMemFreeHost                    
      0.6          1868882        276     6771.3     6436.0      5141     17295       1391.8  cuMemcpyDtoDAsync_v2             
      0.4          1162465          1  1162465.0  1162465.0   1162465   1162465          0.0  cuMemHostAlloc                   
      0.4          1098259        118     9307.3     1191.0       439    774510      71263.8  cuEventRecord                    
      0.4          1094833          2   547416.5   547416.5     11406   1083427     758033.3  cudaHostAlloc                    
      0.3           876815          3   292271.7    53709.0      9940    813166     451638.3  cuMemGetInfo_v2                  
      0.3           759801         59    12878.0     8275.0      2242    174748      23045.8  cuLaunchHostFunc                 
      0.2           683611        115     5944.4     1047.0       475    537667      50031.1  cuStreamWaitEvent                
      0.2           600859          1   600859.0   600859.0    600859    600859          0.0  cuMemAlloc_v2                    
      0.2           510988         17    30058.1     3864.0      2291    389582      93046.3  cuStreamCreate                   
      0.1           447793         32    13993.5     2846.0      2263    165300      35977.7  cudaStreamCreateWithFlags        
      0.1           427271          1   427271.0   427271.0    427271    427271          0.0  cuModuleUnload                   
      0.1           395933         28    14140.5     7833.5      5456     37693      10002.4  cuMemcpyHtoDAsync_v2             
      0.1           330070          1   330070.0   330070.0    330070    330070          0.0  cuModuleLoadFatBinary            
      0.1           218949        838      261.3      213.0       150      6373        241.3  cuGetProcAddress_v2              
      0.1           196012          8    24501.5     4023.5      2592    163907      56380.6  cuStreamCreateWithPriority       
      0.1           165749        454      365.1      231.5       145      3205        415.9  cuCtxSetCurrent                  
      0.0           132226          4    33056.5    18369.5      5026     90461      40197.7  cudaMalloc                       
      0.0           109101         50     2182.0     1022.0       319     31715       5413.7  cuEventCreate                    
      0.0            84196        276      305.1      293.0       245       681         48.9  cuStreamIsCapturing              
      0.0            77779          4    19444.8    16452.5      4176     40698      18032.1  cudaMemsetAsync                  
      0.0            73601         20     3680.1     3160.0      2548     11923       2030.0  cuStreamDestroy_v2               
      0.0            73044          2    36522.0    36522.0     36107     36937        586.9  cuGraphLaunch                    
      0.0            60889         27     2255.1      934.0       575     22569       4529.1  cuStreamSynchronize              
      0.0            58506          1    58506.0    58506.0     58506     58506          0.0  cuGraphExecDestroy               
      0.0            26977         45      599.5      497.0       263      1395        282.7  cuEventDestroy_v2                
      0.0            19153          2     9576.5     9576.5      1716     17437      11116.4  cudaFree                         
      0.0            11163          1    11163.0    11163.0     11163     11163          0.0  cuCtxSynchronize                 
      0.0            10077          3     3359.0     2730.0      2323      5024       1456.2  cuInit                           
      0.0             9696          1     9696.0     9696.0      9696      9696          0.0  cuGraphDestroy                   
      0.0             5600          1     5600.0     5600.0      5600      5600          0.0  cuGraphCreate                    
      0.0             3844          2     1922.0     1922.0      1893      1951         41.0  cudaEventCreateWithFlags         
      0.0              354          2      177.0      177.0       165       189         17.0  cuModuleGetLoadingMode           

