backend,cell,spike_index,spike_time_ms
baseline,2,0,508.090000
baseline,2,1,676.270000
baseline,2,2,844.900000
baseline,4,0,677.150000
baseline,4,1,845.770000
baseline,5,0,507.760000
baseline,5,1,675.970000
baseline,5,2,844.620000
baseline,9,0,508.320000
baseline,9,1,676.470000
baseline,9,2,845.100000
baseline,12,0,677.670000
baseline,12,1,846.280000
baseline,14,0,0.370000
baseline,15,0,846.460000
baseline,19,0,677.250000
baseline,19,1,845.860000
baseline,23,0,846.450000
baseline,24,0,846.380000
baseline,26,0,677.270000
baseline,26,1,845.880000
baseline,28,0,0.020000
baseline,29,0,677.030000
baseline,29,1,845.650000
jit,2,0,500.540000
jit,2,1,669.180000
jit,2,2,838.110000
jit,4,0,505.130000
jit,4,1,673.730000
jit,4,2,842.660000
jit,5,0,329.120000
jit,5,1,497.400000
jit,5,2,666.140000
jit,5,3,835.080000
jit,9,0,501.060000
jit,9,1,669.780000
jit,9,2,838.730000
jit,10,0,845.470000
jit,12,0,675.650000
jit,12,1,844.530000
jit,14,0,1.380000
jit,23,0,843.630000
jit,28,0,0.050000
jit,29,0,672.620000
jit,29,1,841.510000
