backend,cell,spike_index,spike_time_ms
jit,2,0,508.170000
jit,2,1,676.570000
jit,2,2,845.420000
jit,4,0,677.470000
jit,4,1,846.300000
jit,5,0,507.830000
jit,5,1,676.270000
jit,5,2,845.130000
jit,9,0,676.780000
jit,9,1,845.620000
jit,12,0,846.820000
jit,14,0,0.370000
jit,15,0,847.000000
jit,19,0,677.570000
jit,19,1,846.400000
jit,23,0,846.990000
jit,24,0,846.920000
jit,26,0,677.590000
jit,26,1,846.420000
jit,28,0,0.020000
jit,29,0,677.350000
jit,29,1,846.180000
jax,2,0,508.120000
jax,2,1,676.520000
jax,2,2,845.370000
jax,4,0,677.420000
jax,4,1,846.250000
jax,5,0,507.780000
jax,5,1,676.220000
jax,5,2,845.080000
jax,9,0,676.730000
jax,9,1,845.570000
jax,12,0,846.770000
jax,14,0,0.370000
jax,15,0,846.950000
jax,19,0,677.520000
jax,19,1,846.350000
jax,23,0,846.940000
jax,24,0,846.870000
jax,26,0,677.540000
jax,26,1,846.370000
jax,28,0,0.020000
jax,29,0,677.300000
jax,29,1,846.130000
