swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s
sim_seconds,0.5,0.5,0.01,30,True,2.0,,50000,1500000,76.42656859999988,76.41256704999999,654.2227515366964,19626.68254610089,1528.5313719999976,50.95104573333325,0.006542227515366963,1,76.42656859999988,0.0
sim_seconds,1.0,1.0,0.01,30,True,2.0,,100000,3000000,152.95418049,152.928235444,653.7905644660552,19613.716933981657,1529.5418049,50.98472683,0.0065379056446605525,1,152.95418049,0.0
sim_seconds,1.5,1.5,0.01,30,True,2.0,,150000,4500000,229.0068821499999,228.9669356,655.0021492443609,19650.064477330827,1526.712547666666,50.89041825555554,0.006550021492443609,1,229.0068821499999,0.0
sim_seconds,2.0,2.0,0.01,30,True,2.0,,200000,6000000,305.7587136940001,305.70974758899996,654.1105487517119,19623.31646255136,1528.7935684700005,50.95978561566668,0.00654110548751712,1,305.7587136940001,0.0
delta,0.01,1.0,0.01,30,True,2.0,,100000,3000000,152.8190964000005,152.79337866799995,654.368481137019,19631.054434110567,1528.190964000005,50.939698800000166,0.006543684811370189,1,152.8190964000005,0.0
delta,0.03,1.0,0.03,30,True,2.0,,33333,999990,51.33422659799999,51.325777482000035,649.3328566344599,19479.985699033794,1540.0421983619833,51.33473994539944,0.019480180500838804,1,51.33422659799999,0.0
delta,0.05,1.0,0.05,30,True,2.0,,20000,600000,30.556432037000377,30.552610094999977,654.5266795476077,19635.800386428233,1527.8216018500189,50.927386728333964,0.03272633397738039,1,30.556432037000377,0.0
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,3.9241656710000825,3.92379624900002,25483.123900453156,25483.123900453156,39.241656710000825,39.241656710000825,0.2548312390045316,1,3.9241656710000825,0.0
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,7.9005024489997595,7.899613463000037,12657.42282159035,25314.8456431807,79.0050244899976,39.5025122449988,0.1265742282159035,1,7.9005024489997595,0.0
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,42.97162208200007,42.96528636000005,2327.1171800118746,23271.171800118747,429.7162208200007,42.97162208200007,0.023271171800118746,1,42.97162208200007,0.0
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,153.00707786400017,152.98052403199995,653.5645369875285,19606.936109625858,1530.0707786400017,51.00235928800006,0.006535645369875285,1,153.00707786400017,0.0
enable_gapjunctions,True,1.0,0.01,30,True,2.0,,100000,3000000,152.9437734789999,152.91708071300013,653.8350514395448,19615.051543186346,1529.437734789999,50.9812578263333,0.006538350514395449,1,152.9437734789999,0.0
enable_gapjunctions,False,1.0,0.01,30,False,2.0,,100000,3000000,116.06285692700021,116.0438399059999,861.6020891412036,25848.06267423611,1160.6285692700021,38.68761897566674,0.008616020891412036,1,116.06285692700021,0.0
g_CaL,0.7,1.0,0.01,1,True,2.0,0.7,100000,100000,3.914524202999928,3.9141529309999896,25545.88880134249,25545.88880134249,39.14524202999928,39.14524202999928,0.2554588880134249,1,3.914524202999928,0.0
g_CaL,1.8,1.0,0.01,1,True,2.0,1.8,100000,100000,3.912980566999977,3.9124771169999804,25555.966427062656,25555.966427062656,39.12980566999977,39.12980566999977,0.25555966427062654,1,3.912980566999977,0.0
g_CaL,2.0,1.0,0.01,1,True,2.0,2.0,100000,100000,3.9217189239998334,3.92118592099996,25499.022734145405,25499.022734145405,39.21718923999833,39.21718923999833,0.25499022734145405,1,3.9217189239998334,0.0
I_pulse10ms,2.0,1.0,0.01,30,True,2.0,,100000,3000000,152.58683430700057,152.56637746299998,655.3645368826691,19660.936106480072,1525.8683430700057,50.86227810233352,0.006553645368826692,1,152.58683430700057,0.0
I_pulse10ms,5.0,1.0,0.01,30,True,5.0,,100000,3000000,154.32792339999924,154.30159454,647.9708778353231,19439.126335059693,1543.2792339999924,51.442641133333076,0.006479708778353231,1,154.32792339999924,0.0
I_pulse10ms,8.0,1.0,0.01,30,True,8.0,,100000,3000000,153.15500622200034,153.12862605500004,652.9332763373636,19587.99829012091,1531.5500622200034,51.051668740666784,0.0065293327633736365,1,153.15500622200034,0.0
I_pulse10ms,10.0,1.0,0.01,30,True,10.0,,100000,3000000,153.80721391000043,153.78078120299983,650.1645628826911,19504.936886480733,1538.0721391000043,51.269071303333476,0.006501645628826911,1,153.80721391000043,0.0
