swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s,status
sim_seconds,0.5,0.5,0.01,30,True,2.0,,50000,1500000,77.26562661499975,77.255020382,647.1182877884457,19413.548633653372,1545.312532299995,51.510417743333164,0.006471182877884458,1,77.26562661499975,0.0,ok
sim_seconds,1.0,1.0,0.01,30,True,2.0,,100000,3000000,155.13467383099987,155.109911361,644.6012198983813,19338.03659695144,1551.3467383099987,51.71155794366663,0.006446012198983812,1,155.13467383099987,0.0,ok
sim_seconds,1.5,1.5,0.01,30,True,2.0,,150000,4500000,231.6594903250002,231.63122692500002,647.5020720694918,19425.062162084752,1544.3966021666681,51.479886738888936,0.006475020720694917,1,231.6594903250002,0.0,ok
sim_seconds,2.0,2.0,0.01,30,True,2.0,,200000,6000000,309.56230127599974,309.521536778,646.0735017655909,19382.205052967725,1547.8115063799987,51.59371687933329,0.006460735017655909,1,309.56230127599974,0.0,ok
delta,0.01,1.0,0.01,30,True,2.0,,100000,3000000,152.21292983700005,152.195649312,656.9744114845355,19709.232344536063,1522.1292983700005,50.73764327900001,0.006569744114845355,1,152.21292983700005,0.0,ok
delta,0.03,1.0,0.03,30,True,2.0,,33333,999990,50.87611955300008,50.86900996899999,655.1796853389226,19655.390560167678,1526.2988495784982,50.87662831928327,0.019655587116038837,1,50.87611955300008,0.0,ok
delta,0.05,1.0,0.05,30,True,2.0,,20000,600000,30.41384853799991,30.409081716999935,657.5951732978299,19727.855198934896,1520.6924268999956,50.689747563333185,0.03287975866489149,1,30.41384853799991,0.0,ok
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,3.8805535679998684,3.8800737630000413,25769.51928318372,25769.51928318372,38.805535679998684,38.805535679998684,0.2576951928318372,1,3.8805535679998684,0.0,ok
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,7.833773794000081,7.8329910549999795,12765.23966987538,25530.47933975076,78.3377379400008,39.1688689700004,0.1276523966987538,1,7.833773794000081,0.0,ok
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,43.640063115999965,43.63324602500006,2291.47239622888,22914.7239622888,436.40063115999965,43.640063115999965,0.0229147239622888,1,43.640063115999965,0.0,ok
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,158.22334931899968,158.09544607299995,632.0179697269995,18960.539091809984,1582.2334931899968,52.741116439666555,0.006320179697269995,1,158.22334931899968,0.0,ok
enable_gapjunctions,True,1.0,0.01,30,True,2.0,,100000,3000000,152.16430921999972,152.14555038000003,657.1843325981234,19715.529977943705,1521.6430921999972,50.72143640666657,0.006571843325981234,1,152.16430921999972,0.0,ok
enable_gapjunctions,False,1.0,0.01,30,False,2.0,,100000,3000000,114.5060333880001,114.49208542600013,873.3164274510596,26199.492823531786,1145.060333880001,38.16867779600003,0.008733164274510596,1,114.5060333880001,0.0,ok
g_CaL,0.7,1.0,0.01,1,True,2.0,0.7,100000,100000,3.85220187799996,3.8518055829999867,25959.179494486776,25959.179494486776,38.5220187799996,38.5220187799996,0.2595917949448677,1,3.85220187799996,0.0,ok
g_CaL,1.8,1.0,0.01,1,True,2.0,1.8,100000,100000,3.853135107000071,3.852839528000004,25952.892183387994,25952.892183387994,38.53135107000071,38.53135107000071,0.25952892183387993,1,3.853135107000071,0.0,ok
g_CaL,2.0,1.0,0.01,1,True,2.0,2.0,100000,100000,3.845146361999923,3.8448902070001623,26006.8123773547,26006.8123773547,38.45146361999923,38.45146361999923,0.260068123773547,1,3.845146361999923,0.0,ok
I_pulse10ms,2.0,1.0,0.01,30,True,2.0,,100000,3000000,153.25253211300014,153.23286407499995,652.5177667293967,19575.5330018819,1532.5253211300014,51.08417737100005,0.006525177667293967,1,153.25253211300014,0.0,ok
I_pulse10ms,5.0,1.0,0.01,30,True,5.0,,100000,3000000,154.453740852,154.432584035,647.4430431297975,19423.291293893923,1544.53740852,51.484580284,0.0064744304312979745,1,154.453740852,0.0,ok
I_pulse10ms,8.0,1.0,0.01,30,True,8.0,,100000,3000000,156.40157471099974,156.37874079300013,639.3797516730948,19181.392550192846,1564.0157471099974,52.13385823699991,0.0063937975167309485,1,156.40157471099974,0.0,ok
I_pulse10ms,10.0,1.0,0.01,30,True,10.0,,100000,3000000,154.47897782400014,154.4560218480001,647.3372714436994,19420.11814331098,1544.7897782400014,51.492992608000044,0.006473372714436994,1,154.47897782400014,0.0,ok
