swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s
sim_seconds,0.5,0.5,0.01,30,True,2.0,,50000,1500000,0.36835434899990105,0.3683050090000002,135738.86160364957,4072165.848109487,7.367086979998021,0.24556956599993404,1.3573886160364956,1,0.36835434899990105,0.0
sim_seconds,1.0,1.0,0.01,30,True,2.0,,100000,3000000,0.7324733630000537,0.7323131200000002,136523.73594914287,4095712.0784742855,7.324733630000537,0.24415778766668456,1.3652373594914287,1,0.7324733630000537,0.0
sim_seconds,1.5,1.5,0.01,30,True,2.0,,150000,4500000,1.1101601049999772,1.109891775,135115.64622474258,4053469.3867422775,7.401067366666514,0.24670224555555048,1.351156462247426,1,1.1101601049999772,0.0
sim_seconds,2.0,2.0,0.01,30,True,2.0,,200000,6000000,1.4669103730000188,1.4666617729999998,136340.98148135288,4090229.444440586,7.334551865000094,0.2444850621666698,1.3634098148135287,1,1.4669103730000188,0.0
delta,0.01,1.0,0.01,30,True,2.0,,100000,3000000,0.7355188690000887,0.7353369519999999,135958.44269222676,4078753.280766803,7.355188690000887,0.2451729563333629,1.3595844269222677,1,0.7355188690000887,0.0
delta,0.03,1.0,0.03,30,True,2.0,,33333,999990,0.24414447300000575,0.24414556700000034,136529.8160978611,4095894.4829358333,7.324407434074513,0.24414691446915043,4.095935442290256,1,0.24414447300000575,0.0
delta,0.05,1.0,0.05,30,True,2.0,,20000,600000,0.14584184800014555,0.14584392899999976,137134.85034816645,4114045.510444994,7.292092400007277,0.24306974666690923,6.856742517408323,1,0.14584184800014555,0.0
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,0.03609242999982598,0.036094513000000106,2770664.097720274,2770664.097720274,0.3609242999982598,0.3609242999982598,27.70664097720274,1,0.03609242999982598,0.0
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,0.059387165000089226,0.05928786199999969,1683865.5288537473,3367731.0577074946,0.5938716500008923,0.29693582500044613,16.838655288537474,1,0.059387165000089226,0.0
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,0.24168659800011483,0.2416582310000006,413758.9788903085,4137589.7889030855,2.4168659800011483,0.2416865980001148,4.137589788903085,1,0.24168659800011483,0.0
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,0.7367492739999761,0.736488767,135731.38587171954,4071941.5761515866,7.367492739999761,0.24558309133332534,1.3573138587171956,1,0.7367492739999761,0.0
enable_gapjunctions,True,1.0,0.01,30,True,2.0,,100000,3000000,0.7333394089998819,0.7332885239999998,136362.50660029115,4090875.1980087343,7.333394089998819,0.2444464696666273,1.3636250660029114,1,0.7333394089998819,0.0
enable_gapjunctions,False,1.0,0.01,30,False,2.0,,100000,3000000,0.7357291399998758,0.7356921319999987,135919.58584108396,4077587.5752325193,7.357291399998758,0.24524304666662528,1.3591958584108397,1,0.7357291399998758,0.0
g_CaL,0.7,1.0,0.01,1,True,2.0,0.7,100000,100000,0.04152760000010858,0.0415289000000012,2408037.064500201,2408037.064500201,0.4152760000010858,0.4152760000010858,24.08037064500201,1,0.04152760000010858,0.0
g_CaL,1.8,1.0,0.01,1,True,2.0,1.8,100000,100000,0.03624243399985971,0.036243727999998754,2759196.581564778,2759196.581564778,0.36242433999859713,0.36242433999859713,27.59196581564778,1,0.03624243399985971,0.0
g_CaL,2.0,1.0,0.01,1,True,2.0,2.0,100000,100000,0.03608891800013225,0.03607562999999914,2770933.725406606,2770933.725406606,0.36088918000132253,0.36088918000132253,27.709337254066064,1,0.03608891800013225,0.0
I_pulse10ms,2.0,1.0,0.01,30,True,2.0,,100000,3000000,0.7340823570000339,0.7340021700000001,136224.49721945217,4086734.9165835646,7.340823570000339,0.24469411900001128,1.3622449721945216,1,0.7340823570000339,0.0
I_pulse10ms,5.0,1.0,0.01,30,True,5.0,,100000,3000000,0.7358381009998993,0.7357999949999989,135899.4592208724,4076983.776626172,7.358381009998993,0.24527936699996644,1.3589945922087239,1,0.7358381009998993,0.0
I_pulse10ms,8.0,1.0,0.01,30,True,8.0,,100000,3000000,0.7341103380001641,0.7340335699999994,136219.3049513732,4086579.148541196,7.341103380001641,0.2447034460000547,1.3621930495137318,1,0.7341103380001641,0.0
I_pulse10ms,10.0,1.0,0.01,30,True,10.0,,100000,3000000,0.7352043190001041,0.7351216449999995,136016.61118640116,4080498.3355920347,7.352043190001041,0.24506810633336806,1.3601661118640116,1,0.7352043190001041,0.0
