swept_param,swept_value,sim_seconds,delta,n_cells,enable_gapjunctions,I_pulse10ms,g_CaL,n_simsteps,total_cell_steps,wall_time_s,cpu_time_s,throughput_steps_per_s,throughput_cellsteps_per_s,latency_us_per_step,latency_us_per_cellstep,realtime_factor,repeats,wall_time_mean_s,wall_time_std_s,status
sim_seconds,0.5,0.5,0.01,30,True,2.0,,50000,1500000,0.34577264100062166,0.34577526700000005,144603.69060810137,4338110.718243041,6.915452820012433,0.23051509400041442,1.4460369060810137,1,0.34577264100062166,0.0,ok
sim_seconds,1.0,1.0,0.01,30,True,2.0,,100000,3000000,0.6913087090006229,0.6912674510000001,144653.17548879582,4339595.264663875,6.913087090006229,0.230436236333541,1.4465317548879584,1,0.6913087090006229,0.0,ok
sim_seconds,1.5,1.5,0.01,30,True,2.0,,150000,4500000,1.0438827240004684,1.043811797,143694.30257946553,4310829.077383965,6.959218160003123,0.23197393866677074,1.4369430257946552,1,1.0438827240004684,0.0,ok
sim_seconds,2.0,2.0,0.01,30,True,2.0,,200000,6000000,1.3687453630000164,1.3685639510000005,146119.21647839592,4383576.494351878,6.843726815000082,0.22812422716666939,1.4611921647839592,1,1.3687453630000164,0.0,ok
delta,0.01,1.0,0.01,30,True,2.0,,100000,3000000,0.692889617000219,0.6927729469999999,144323.13249682944,4329693.974904883,6.92889617000219,0.23096320566673967,1.4432313249682942,1,0.692889617000219,0.0,ok
delta,0.03,1.0,0.03,30,True,2.0,,33333,999990,0.22678698799973063,0.22678884499999974,146979.33198900984,4409379.959670295,6.803677676768686,0.22678925589228954,4.4094240539108345,1,0.22678698799973063,0.0,ok
delta,0.05,1.0,0.05,30,True,2.0,,20000,600000,0.13626615199973457,0.13626730300000034,146771.5915250836,4403147.745752509,6.813307599986729,0.22711025333289095,7.3385795762541814,1,0.13626615199973457,0.0,ok
n_cells,1,1.0,0.01,1,True,2.0,,100000,100000,0.0363848560000406,0.03637700300000013,2748396.2008778714,2748396.2008778714,0.363848560000406,0.363848560000406,27.48396200877871,1,0.0363848560000406,0.0,ok
n_cells,2,1.0,0.01,2,True,2.0,,100000,200000,0.05934194200017373,0.05934201200000011,1685148.7603777314,3370297.520755463,0.5934194200017373,0.29670971000086865,16.851487603777315,1,0.05934194200017373,0.0,ok
n_cells,10,1.0,0.01,10,True,2.0,,100000,1000000,0.23816765299943654,0.23813933400000042,419872.2989483235,4198722.989483235,2.3816765299943654,0.23816765299943654,4.198722989483235,1,0.23816765299943654,0.0,ok
n_cells,30,1.0,0.01,30,True,2.0,,100000,3000000,0.682828162000078,0.6827054110000006,146449.7300566648,4393491.9016999435,6.82828162000078,0.22760938733335934,1.464497300566648,1,0.682828162000078,0.0,ok
n_cells,100,1.0,0.01,100,True,2.0,,100000,10000000,2.275955834999877,2.2757121200000006,43937.58370096202,4393758.370096202,22.75955834999877,0.22759558349998768,0.4393758370096202,1,2.275955834999877,0.0,ok
n_cells,1000,1.0,0.01,1000,True,2.0,,100000,100000000,22.868941132000145,22.866411585999998,4372.742901509838,4372742.901509838,228.68941132000145,0.22868941132000145,0.04372742901509838,1,22.868941132000145,0.0,ok
n_cells,10000,1.0,0.01,10000,True,2.0,,,,,,,,,,,,,,unstable: ZeroDivisionError
n_cells,100000,1.0,0.01,100000,True,2.0,,,,,,,,,,,,,,unstable: ZeroDivisionError
enable_gapjunctions,True,1.0,0.01,30,True,2.0,,100000,3000000,0.7175613130002603,0.7174930149999952,139360.91339969402,4180827.40199082,7.175613130002603,0.2391871043334201,1.39360913399694,1,0.7175613130002603,0.0,ok
enable_gapjunctions,False,1.0,0.01,30,False,2.0,,100000,3000000,0.6768884189996243,0.6767967500000012,147734.836633474,4432045.09900422,6.768884189996243,0.22562947299987476,1.4773483663347402,1,0.6768884189996243,0.0,ok
g_CaL,0.7,1.0,0.01,1,True,2.0,0.7,100000,100000,0.04153852299987193,0.041538252000002274,2407403.84534877,2407403.84534877,0.4153852299987193,0.4153852299987193,24.0740384534877,1,0.04153852299987193,0.0,ok
g_CaL,1.8,1.0,0.01,1,True,2.0,1.8,100000,100000,0.0363733800004411,0.03636628900000005,2749263.3348560757,2749263.3348560757,0.363733800004411,0.363733800004411,27.49263334856076,1,0.0363733800004411,0.0,ok
g_CaL,2.0,1.0,0.01,1,True,2.0,2.0,100000,100000,0.04125902699979633,0.04125920100000258,2423712.0279276976,2423712.0279276976,0.41259026999796333,0.41259026999796333,24.237120279276976,1,0.04125902699979633,0.0,ok
I_pulse10ms,2.0,1.0,0.01,30,True,2.0,,100000,3000000,0.6768797909999194,0.6767338920000014,147736.7197686242,4432101.593058726,6.7687979099991935,0.22562659699997312,1.477367197686242,1,0.6768797909999194,0.0,ok
I_pulse10ms,5.0,1.0,0.01,30,True,5.0,,100000,3000000,0.7050181439999506,0.704973092000003,141840.32120456608,4255209.636136982,7.0501814399995055,0.2350060479999835,1.4184032120456607,1,0.7050181439999506,0.0,ok
I_pulse10ms,8.0,1.0,0.01,30,True,8.0,,100000,3000000,0.6971002740001495,0.6970460849999967,143451.38530239416,4303541.559071825,6.971002740001495,0.23236675800004986,1.4345138530239419,1,0.6971002740001495,0.0,ok
I_pulse10ms,10.0,1.0,0.01,30,True,10.0,,100000,3000000,0.6793089809998492,0.6792426829999982,147208.4173726274,4416252.521178821,6.7930898099984915,0.2264363269999497,1.4720841737262738,1,0.6793089809998492,0.0,ok
